id,price_doc
30474,5585968.5
30475,8625512.0
30476,5913432.0
30477,6788674.5
30478,5323816.0
30479,9474390.0
30480,4636790.5
30481,4407446.5
30482,4986231.0
30483,4843756.0
30484,6523135.0
30485,5323816.0
30486,4109905.5
30487,4771711.0
30488,6874551.5
30489,6266291.5
30490,22316520.0
30491,22206546.0
30492,6856029.5
30493,16760748.0
30494,7766287.0
30495,11948234.0
30496,9377936.0
30497,8832328.0
30498,5027590.0
30499,7896904.5
30500,11980698.0
30501,7255990.0
30502,3404985.5
30503,6338456.0
30504,5946612.5
30505,11053926.0
30506,3304049.5
30507,5240241.0
30508,5776839.0
30509,9148552.0
30510,9758712.0
30511,6947203.5
30512,6575097.0
30513,4636790.5
30514,4691804.5
30515,9798294.0
30516,6102503.5
30517,11584562.0
30518,7555018.5
30519,5033841.5
30520,7225473.5
30521,5910359.0
30522,8111060.0
30523,6531516.5
30524,10302370.0
30525,12024374.0
30526,5233935.5
30527,5343985.5
30528,6538567.5
30529,6652764.0
30530,6854321.0
30531,13776894.0
30532,5116381.0
30533,11147792.0
30534,7654322.5
30535,9798294.0
30536,5969932.0
30537,11973530.0
30538,5545933.0
30539,12154436.0
30540,9758712.0
30541,7059835.5
30542,2501585.5
30543,6038091.5
30544,7267422.5
30545,9996660.0
30546,4315473.5
30547,9906450.0
30548,4619089.0
30549,5290349.5
30550,12101786.0
30551,5432169.0
30552,2227686.5
30553,8419324.0
30554,11648756.0
30555,6665328.5
30556,9382222.0
30557,9342872.0
30558,8771238.0
30559,6863454.0
30560,6344382.0
30561,8077981.5
30562,12717572.0
30563,5075362.0
30564,7462674.0
30565,7444112.5
30566,7303887.0
30567,2501585.5
30568,10516136.0
30569,9275712.0
30570,7060615.5
30571,7753250.5
30572,5233935.5
30573,6523135.0
30574,6712663.0
30575,8366711.0
30576,4771711.0
30577,4814206.5
30578,3304049.5
30579,7490354.0
30580,5674599.5
30581,5548445.5
30582,12623672.0
30583,7654322.5
30584,4721514.5
30585,3231768.8
30586,9624602.0
30587,6401717.0
30588,7153906.5
30589,8201499.5
30590,13609466.0
30591,5030370.5
30592,7550280.0
30593,9377936.0
30594,9899428.0
30595,6623799.0
30596,8452750.0
30597,6523135.0
30598,9819530.0
30599,11712540.0
30600,6129726.0
30601,6273153.0
30602,2501585.5
30603,12528414.0
30604,4969320.0
30605,6865142.5
30606,21054932.0
30607,7238400.5
30608,8818462.0
30609,6259821.0
30610,3221069.0
30611,5776839.0
30612,7974597.5
30613,8618306.0
30614,19396086.0
30615,7739473.0
30616,5776839.0
30617,9104200.0
30618,4934528.5
30619,4916096.5
30620,2977482.0
30621,9999602.0
30622,9499558.0
30623,6557234.0
30624,7265134.0
30625,7928304.5
30626,7069898.5
30627,7949174.5
30628,6523135.0
30629,5673058.0
30630,5416855.0
30631,6341261.0
30632,4362794.0
30633,5613756.0
30634,10420412.0
30635,9758712.0
30636,5753555.5
30637,9758712.0
30638,6727526.0
30639,8580146.0
30640,4797442.5
30641,8375356.5
30642,6785543.0
30643,8825640.0
30644,9819530.0
30645,7392162.5
30646,5461962.0
30647,4934802.5
30648,26208406.0
30649,2974654.5
30650,5354490.5
30651,3304049.5
30652,4797442.5
30653,6990255.0
30654,4809296.0
30655,13951866.0
30656,4022045.0
30657,7082003.5
30658,10419004.0
30659,5402103.0
30660,8452056.0
30661,6603519.0
30662,9426842.0
30663,14822138.0
30664,13420680.0
30665,6259821.0
30666,2974654.5
30667,4362400.5
30668,9084380.0
30669,5216014.5
30670,2971734.8
30671,8713560.0
30672,13906880.0
30673,10955896.0
30674,11619840.0
30675,2501585.5
30676,7048994.0
30677,4837494.0
30678,19438790.0
30679,6651955.0
30680,5628373.0
30681,2608532.5
30682,7972448.5
30683,9989910.0
30684,5787223.5
30685,7958812.0
30686,9798294.0
30687,5323816.0
30688,5069949.0
30689,15281380.0
30690,30006862.0
30691,5338956.0
30692,6566858.0
30693,12166966.0
30694,6541957.5
30695,6804080.0
30696,7552668.0
30697,13176966.0
30698,7777857.0
30699,6291408.0
30700,5233935.5
30701,9819530.0
30702,6850681.5
30703,3994271.8
30704,12643812.0
30705,9266224.0
30706,25326550.0
30707,4408160.0
30708,13998280.0
30709,6288783.5
30710,7772270.5
30711,4774743.5
30712,4130038.0
30713,7317158.0
30714,7799902.5
30715,4092904.2
30716,9989910.0
30717,6886279.0
30718,13547286.0
30719,14862912.0
30720,6892725.0
30721,5963966.5
30722,7445400.5
30723,6466745.0
30724,12340546.0
30725,6884505.5
30726,11578584.0
30727,9798294.0
30728,11720606.0
30729,4435439.0
30730,6343006.0
30731,6706398.5
30732,5791076.5
30733,9213644.0
30734,6827087.0
30735,5965161.0
30736,6780391.5
30737,7733015.5
30738,6809801.5
30739,5058026.0
30740,7293099.0
30741,12923644.0
30742,4636790.5
30743,5233935.5
30744,10286524.0
30745,7439782.0
30746,5965161.0
30747,14267142.0
30748,17485528.0
30749,6402981.5
30750,6613402.0
30751,4479658.0
30752,7187362.5
30753,10701756.0
30754,6573072.0
30755,5901159.0
30756,9899428.0
30757,6144309.5
30758,11841680.0
30759,6908681.5
30760,5901159.0
30761,11164334.0
30762,7354458.0
30763,12643812.0
30764,6259821.0
30765,5929440.5
30766,3902639.5
30767,10450086.0
30768,4975931.0
30769,6804158.5
30770,6259821.0
30771,3404985.5
30772,8052888.0
30773,8375356.5
30774,5776839.0
30775,12676028.0
30776,6239380.5
30777,6259821.0
30778,9939892.0
30779,6757895.5
30780,8355188.0
30781,6523135.0
30782,4753211.0
30783,5553026.5
30784,3783500.0
30785,5822952.5
30786,4636790.5
30787,6753144.0
30788,5809585.0
30789,7459204.5
30790,7627292.5
30791,10526110.0
30792,7053129.0
30793,13670634.0
30794,14831876.0
30795,10504518.0
30796,9589352.0
30797,15413238.0
30798,3183013.0
30799,11651348.0
30800,14512188.0
30801,6706398.5
30802,18112408.0
30803,3231768.8
30804,3962570.0
30805,15559278.0
30806,6827087.0
30807,6853803.0
30808,11486636.0
30809,4999762.5
30810,11543942.0
30811,4396189.5
30812,6318342.5
30813,5590498.5
30814,3398537.8
30815,4701776.5
30816,8637122.0
30817,2501585.5
30818,8261193.0
30819,9541410.0
30820,5654516.0
30821,21704478.0
30822,9394672.0
30823,6804080.0
30824,3775781.0
30825,5012542.0
30826,11403582.0
30827,5628373.0
30828,5890483.5
30829,6333234.5
30830,9637340.0
30831,6169685.0
30832,6082621.5
30833,6421699.0
30834,4218679.5
30835,8261881.5
30836,7088848.5
30837,5696150.5
30838,4482301.5
30839,6680811.5
30840,11681170.0
30841,12115698.0
30842,7591914.5
30843,5206394.0
30844,9899428.0
30845,9810396.0
30846,4636790.5
30847,5976178.5
30848,8991556.0
30849,4817970.0
30850,4180665.5
30851,4893654.5
30852,7824358.5
30853,3928930.8
30854,6211211.0
30855,8133630.5
30856,8925030.0
30857,2597749.5
30858,4636790.5
30859,6258586.0
30860,6288944.5
30861,9382222.0
30862,6476450.5
30863,5860197.5
30864,6958738.5
30865,10052936.0
30866,7385217.0
30867,5817608.0
30868,9946326.0
30869,6246921.0
30870,5659647.0
30871,9789972.0
30872,4855387.0
30873,3867048.8
30874,4785267.5
30875,6279621.0
30876,5238555.0
30877,10273278.0
30878,5965161.0
30879,11502022.0
30880,6706398.5
30881,2501585.5
30882,10855890.0
30883,3726878.8
30884,5965161.0
30885,5093332.0
30886,7606837.0
30887,5598286.5
30888,5075362.0
30889,5582463.0
